full_name,gender,state
Nathan Daniels,M,New York
Eric Bryant,M,Florida
Beatrice Saxbury,F,Colorado
Anthony Blunt,M,Florida
Albert Sampson,M,Alabama
Frank Amoa,M,New York
Mark Whitmore,M,Alabama
James Trevino,M,Colorado
William Douglas,M,Virginia
Phyllis Cotter,F,Virginia
Holly Swanigan,F,Alaska
Marc Kragt,M,Colorado
Bernard Bowie,M,Texas
Shane Steen,M,Arizona
Renee Benton,F,Arkansas
John Grimsley,M,New York
Todd Teague,M,Virginia
Diane Myers,F,New Jersey
Alice Frederick,F,Florida
Monica Wraight,F,Arkansas
Daniel Doggett,M,Texas
Rosanne Ward,F,New Jersey
Cheri Russell,F,Virginia
Lloyd Weston,M,Alabama
George Capello,M,Texas
Brandon Risinger,M,Alaska
Teresa Carroll,F,Florida
Oscar Thompson,M,Nevada
Frances Woodward,F,Florida
Eugene Spady,M,California
Aaron Finley,M,Texas
David Strauss,M,Virginia
James Huff,M,Arkansas
June Arroyo,F,Colorado
John Rotz,M,Arkansas
Rick Rynders,M,Arizona
Marjorie Bayless,F,Georgia
Guadalupe Moore,F,Alaska
Thomas Phelps,M,Florida
Jane Rollins,F,Florida
Lynn Clark,F,Texas
Peter Pagan,M,Alaska
John Hyde,M,Colorado
Jimmie Cobb,M,Virginia
Timothy Higgins,M,Texas
Raquel Mcquaid,F,Georgia
Alfred Mcknight,M,Nevada
Belinda Monigold,F,California
Stephen Walton,M,California
Jane White,F,Texas
Alex Rucker,M,New Jersey
Ricky Cuevas,M,Georgia
Willie White,M,New York
Wendell Schwartz,M,New York
Rudolph Juneau,M,Texas
Vicki Foote,F,Arkansas
Roy Jackson,M,Alabama
Ruth Bonnett,F,Alaska
June Gaucin,F,Colorado
Elizabeth Dean,F,Texas
Donna Orozco,F,Arkansas
Nicholas Cilenti,M,Connecticut
Mathew Taylor,M,Arkansas
Alfredo Seal,M,Alaska
Robert Gregory,M,Arkansas
Tracy Ceja,F,New York
Sean Marino,M,Arizona
Kyle Bryson,M,Connecticut
Christopher Schmitz,M,Georgia
Allen Brown,M,Florida
Jennifer Hardy,F,Florida
Heather Davis,F,Alabama
Jessie Crittendon,M,Alaska
Javier Jones,M,Alabama
Norma Lehman,F,Nevada
Lauren King,F,New Jersey
Eliza Laplante,F,Virginia
Deandre Jones,M,Alaska
Kelle Harvey,F,Colorado
George Freed,M,California
Anthony Hart,M,Texas
Patricia Iglesias,F,Colorado
Lindsey Dusel,F,California
Joan Adams,F,Colorado
Elaine Garcia,F,Arizona
Cristy Rodriguez,F,Arizona
Lillian Hargreaves,F,Alaska
Jerome Johnson,M,Alaska
Nathan Anderson,M,Virginia
Angeline Rea,F,Arkansas
Austin Patterson,M,Colorado
Geoffrey Tauber,M,New Jersey
Catherine Teal,F,New York
James Bohannon,M,Arkansas
John Fleischman,M,Arizona
Stephen Bowen,M,New Jersey
Scot Trotter,M,Alabama
Clarence Wright,M,Alaska
Clinton Harris,M,Arizona
Dale Bernal,M,Nevada
Ted Thornton,M,Connecticut
Everett Castro,M,Nevada
Rose Beaver,F,Texas
Michael Marashio,M,Arizona
Georgia Izquierdo,F,New Jersey
Misty Cowart,F,Colorado
Willie Mankin,M,Nevada
Cynthia York,F,Colorado
Robert Gish,M,Connecticut
Kathy Edes,F,Nevada
John Hayden,M,New York
Sara Polzin,F,Arizona
Jean Ramirez,F,Florida
David Rossi,M,Florida
Michelle Morris,F,New York
Charles Oestreich,M,Alaska
Luis Young,M,Virginia
Jamie Hogan,F,Georgia
Lawrence Mccurry,M,Colorado
Jessica Garner,F,Texas
Claudia Doucet,F,Texas
Karen Linn,F,Alabama
Eric Smith,M,Virginia
Ruby Archie,F,Alabama
Cynthia Mcintyre,F,Connecticut
Ursula Arceo,F,Georgia
Shannon Witek,F,Arizona
Rosamaria Phelps,F,Florida
Christian Quezad,M,Virginia
Karen Berg,F,New York
Fred Jett,M,Texas
Howard Yoon,M,Colorado
Colleen Witty,F,Colorado
Adolph Jones,M,Arizona
Patricia White,F,Arkansas
David Thompson,M,Georgia
Joanne Whitley,F,Alaska
Guadalupe Odom,F,New York
Sarah Hill,F,Virginia
Marianne Chaney,F,Alaska
Adam Simmons,M,Arizona
Nicole Roberts,F,Nevada
Janet Webster,F,Arkansas
Frieda Mccarthy,F,Arkansas
Johnnie Edmonds,M,Georgia
Tammy Moseley,F,Alabama
April Leal,F,Texas
Leslie Smith,M,Arizona
Maurine Wright,F,Texas
Claudia Adams,F,New Jersey
Michael Wilt,M,Nevada
Carolyn Sinclair,F,Alabama
Christine Rios,F,Nevada
Francis Stickney,M,California
Bebe Scherrer,F,Nevada
Leslie Abrego,F,Florida
Roger Sholders,M,New York
Rebecca Haggerty,F,Texas
Nathan Cohen,M,Florida
Elizabeth Ostrander,F,New Jersey
Betty Stephenson,F,Alaska
Neville Pittman,M,Florida
Veronica Jones,F,Nevada
Joel Harmon,M,Arkansas
Carol Jones,F,Connecticut
Melissa George,F,Texas
Daniel Eichenberger,M,New York
Terry Mcgahey,F,Texas
Richard English,M,New York
Joan Benfield,F,Virginia
Erica Robertson,F,Nevada
Cheryl Knight,F,New York
Jimmie Musson,F,Alabama
Bradley Templeton,M,Alaska
Linda Martin,F,Alaska
Dale Johnson,F,New Jersey
Dorothy Alexander,F,New Jersey
Paul Goddard,M,Arizona
Jesus Pursley,M,New York
Katherine Buono,F,Arkansas
Maria West,F,Connecticut
James Nixon,M,Texas
Scott Modica,M,Virginia
Carol Pullen,F,Texas
Charles Butts,M,Alaska
Megan Tamaro,F,Virginia
Mildred Wright,F,California
Amber Kintzel,F,Texas
Maria Condra,F,Virginia
Jennifer Wall,F,California
Naomi Murphy,F,Arizona
Kyle Mcmilliam,M,New York
Lucinda Smith,F,Alaska
Mack Mathis,M,Nevada
Jerry Maston,M,Georgia
Mario Allton,M,Colorado
Deborah Shannon,F,Alaska
Cheryl Oguin,F,Texas
Joseph Perez,M,Arkansas
Susan Adkins,F,New York
Ronnie Scott,M,New York
Laura Sullivan,F,Connecticut
Lisa Perry,F,New York
Lee Seling,F,Alabama
Jimmie Meadows,M,Arizona
Nancy Ralston,F,Colorado
Cecilia King,F,California
Matthew Allen,M,California
Craig Austin,M,Alabama
Jonathon Perrigo,M,Arizona
Teresa Ciaccio,F,Arkansas
Angel Black,F,Alaska
Winona Macklin,F,Nevada
Mark Martinelli,M,New York
Ronald Logsdon,M,Arizona
Melissa Douglass,F,California
Margaret Sims,F,Nevada
Lois Harrison,F,Arizona
Vanessa Gilchrist,F,Alabama
John Rodgers,M,Connecticut
Wanda Hyatt,F,Arizona
Maurice Hardison,M,Texas
Lisa Bouldin,F,Texas
Sondra Craig,F,Colorado
Thomas Carter,M,Colorado
Desiree Kleis,F,Nevada
Gary Roberts,M,Colorado
Christina Midkiff,F,New York
Eleanor Benner,F,Connecticut
Jennifer Jefferson,F,Colorado
Gregory Napier,M,Nevada
Melva Wright,F,Virginia
Scott Snowden,M,Arizona
Irene Jones,F,New Jersey
Ronald Walker,M,Georgia
Francis Murray,M,Georgia
Tracy Grizzard,F,California
Claudia Ling,F,Arkansas
Candy Mcintyre,F,Connecticut
Weldon Severance,M,Connecticut
Colby Brantley,M,Arizona
Edward Lipsitz,M,Florida
Allen Munselle,M,Alaska
Alexis Cribbin,F,Texas
Jill Keefer,F,Nevada
Clara Janas,F,New York
Christopher Sproull,M,Florida
Jack Smith,M,California
Antoinette Morrison,F,New Jersey
Ignacio Harden,M,New Jersey
Ann White,F,Connecticut
Nancy Joyce,F,Texas
Marion Paradee,F,Georgia
Matthew Hinkle,M,Virginia
Delores Farias,F,Arizona
Harold Pace,M,New York
Michael Watkins,M,Georgia
Erika Erickson,F,New York
Kara Hudson,F,Alabama
Alison Bove,F,Alaska
Patricia Helfer,F,California
Ted Lopez,M,Georgia
Anthony Ball,M,Colorado
Philip Bridges,M,Nevada
Phyllis Mooney,F,Alabama
James Hornick,M,Nevada
Irving Knowles,M,Alaska
Lance Parker,M,Virginia
Kathy Avans,F,Arizona
Fern Stone,F,Texas
Robert Smith,M,Georgia
Joe Williams,M,Alaska
Brett Sullivan,M,Arizona
Teresa Hartage,F,Arizona
Kathleen Marquez,F,Florida
Rodney Benda,M,Connecticut
Alma Pool,F,Colorado
Patrice Anderson,F,Arkansas
Rick Nobel,M,Connecticut
Steven Bivens,M,Nevada
Jennifer Hunter,F,Texas
Amanda Thompson,F,Texas
William Bentley,M,California
Charles Palumbo,M,Georgia
John Sullivan,M,Connecticut
Leroy Woodson,M,Arkansas
Nathaniel Hernandez,M,Texas
Samuel Vincent,M,California
Joseph Melson,M,Alabama
Lester Silver,M,Arkansas
Marshall Postal,M,Virginia
